k/T1 (Trivial Algorithm)	T2 (KMP Algorithm)	T3 (RabinKarp)
1	0.0001986	0.0002269	0.0002795
2	0.0062222	0.0014668	0.0064923
3	0.0195323	0.0026653	0.0212535
4	0.0414292	0.0049056	0.0623988
5	0.080953	0.0076187	0.0923022
6	0.113065	0.0067294	0.120858
7	0.156777	0.007885	0.16719
8	0.215773	0.0094481	0.230768
9	0.293323	0.0152957	0.310494
10	0.342681	0.013256	0.368151
11	0.42893	0.0162339	0.463161
12	0.553002	0.0159685	0.679498
13	0.616467	0.0157365	0.647375
14	0.714051	0.0185837	0.756008
15	1.57801	0.0225059	1.73407
16	1.94174	0.0478277	1.99489
17	1.9312	0.0354363	2.49628
18	2.35953	0.0499081	2.48967
19	2.66199	0.0436281	3.0038
20	3.18795	0.0312442	3.20172
21	3.36199	0.0592986	3.51669
22	3.43123	0.0558982	4.14914
23	4.05578	0.063405	4.272
24	4.64112	0.0384501	4.51833
25	4.87357	0.0656053	5.18442
26	5.21801	0.0428567	5.38765
27	5.88844	0.0586112	5.78668
28	6.0807	0.0657899	6.3196
29	6.55246	0.0703765	7.129
30	7.15122	0.0947234	7.54891
31	7.63269	0.0787528	8.0716
32	7.94797	0.110875	8.67715
33	9.02615	0.111982	9.11006
34	9.00399	0.113711	10.095
35	9.66308	0.101319	10.7252
36	10.5089	0.0649997	10.7265
37	10.7719	0.0812695	11.8106
38	11.1787	0.122261	12.3454
39	12.0247	0.0977109	11.832
40	11.4803	0.0756291	12.4339
41	12.4721	0.0781998	13.1354
42	12.6441	0.104958	13.7633
43	13.9975	0.110813	14.4254
44	14.9339	0.0944755	15.1163
45	14.5569	0.0777274	16.033
46	15.5889	0.133814	16.9088
47	15.8655	0.127687	13.5188
48	9.30597	0.0631583	9.86262
49	9.60276	0.0644184	10.2478
50	9.96798	0.0650864	10.562
51	10.4489	0.0664105	11.0109
52	10.8836	0.0695052	11.4426
53	11.2727	0.0691225	11.992
54	11.7585	0.073001	12.4444
55	12.2042	0.0710428	12.8433
56	12.5857	0.0735989	13.3759
57	13.1127	0.0725868	13.6515
58	13.3514	0.073997	14.234
59	13.853	0.0761437	14.5841
60	14.3235	0.0765652	15.1803
61	14.8545	0.0778071	15.7497
62	15.268	0.0806425	16.1494
63	15.8318	0.0967414	16.7647
64	16.2088	0.0827378	17.2905
65	16.7973	0.0837117	17.928
66	17.637	0.0866488	18.6186
67	18.0436	0.0875071	19.457
68	20.4938	0.0875547	19.7667
69	19.1493	0.0894682	20.4412
70	19.7558	0.0909485	20.9957
71	20.5662	0.0924805	21.4789
72	20.7809	0.0966929	21.9735
73	21.3671	0.096399	23.0813
74	22.4032	0.0983141	23.7851
75	23.5744	0.0990847	24.2242
76	26.8722	0.104563	28.5082
77	26.0493	0.277777	28.2053
78	26.9078	0.103485	28.6305
79	25.7271	0.102758	28.4792
80	26.4494	0.108301	27.253
81	26.7651	0.107041	61.5224
82	60.5198	0.255223	60.6562
83	57.5035	0.142354	44.332
84	55.8057	0.223328	59.1344
85	58.4998	0.257356	61.293
86	59.1826	0.187954	51.8869
87	32.7842	0.118565	34.1085
88	32.5694	0.119795	49.4508
89	50.5107	0.218657	60.3871
90	52.0221	0.262272	62.4464
91	46.4437	0.117182	37.2294
92	34.5596	0.120364	36.268
93	36.27	0.12236	58.474
94	61.3696	0.19676	71.6002
95	48.7915	0.167922	54.7626
96	74.9696	0.192142	78.4396
97	67.0139	0.247491	82.0018
98	76.9911	0.279395	86.642
99	39.9347	0.129915	41.689
100	40.3237	0.13007	42.4558
101	41.0833	0.132203	48.1955
